Date,Tweet,City,Country,random #
Wed Apr 25 20:53:38 +0000 2018,  CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL ,none,none,0.826425365
Mon Apr 16 19:06:56 +0000 2018,Flu is killing mee ,none,none,0.307483509
Wed Apr 18 18:54:01 +0000 2018,"  Then at the same time, I got the flu. I just want to make videos again, powers that be! It's like the universe is doing…",none,none,0.681225885
Tue Apr 03 19:02:36 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none,0.685033334
Wed Apr 18 18:07:06 +0000 2018,"  A reminder:  - 40,000 nurses short  - 10,000 Drs down  - 100,000 vacant posts across NHS (~1/11) - nearly 15,000 beds c…",none,none,0.837751372
Fri Mar 30 18:54:59 +0000 2018,  Irish flu vaccines. ,none,none,0.38578917
Mon Apr 16 18:49:24 +0000 2018,  Public health officials say there has been a spike in flu-related illnesses and hospitalizations. ,none,none,0.451144755
Tue Apr 17 17:23:52 +0000 2018,  Uber South Africa to bring flu vaccinations to your doorstep for R100   #UberSA ,Georgia,none,0.774597143
Tue Mar 27 18:34:28 +0000 2018,Need to see the doctor tomorrow. Flu is really creeping in for real now.,none,none,0.670608125
Sun Apr 01 20:37:59 +0000 2018,welp I woke up this morning with a 103 fever and I’ve been at the hospital all day oh and I have the flu aGAIN ugh happy easter beauts!!,none,none,0.478714025
Thu Apr 26 17:56:41 +0000 2018,  #DYK that dogs can catch the flu? Follow these tips to help prevent it:  ,none,none,0.107127534
Fri Mar 30 18:39:16 +0000 2018,  Had a flu jab today and now my arm feels like a cooked noodle ,none,none,0.42433055
Thu Apr 05 18:33:05 +0000 2018,"I don't think it's a mere coincidence that #timothycunningham spoke up about flu shots being dangerous in the midst of a deadly flu epidemic, and then he disappears and winds up dead. He was murdered #InsideJob",none,none,0.503061243
Fri Apr 27 19:17:29 +0000 2018,Are We Prepared For A Killer Flu Epidemic? ,none,none,0.243759724
Mon Apr 16 18:37:37 +0000 2018,"Continue praying for my husband, Rich, who has the flu &amp; now my daughter, Katie, who has a mild case of pnemonia.  Thanks!",none,none,0.720243198
Mon Apr 23 18:40:16 +0000 2018,Got sent home for the entire week because of the flu...cool.,none,none,0.953499011
Thu Apr 05 18:33:40 +0000 2018,Timothy Cunningham: 5 Fast Facts You Need to Know  via  #news,none,none,0.630851018
