Date,Tweet,City,Country
Tue Mar 27 18:20:11 +0000 2018, Then put on a jacket you can catch a flu,none,none
Tue Mar 27 18:20:12 +0000 2018,  Oh yea!! Flu &amp; pneumonia!!! #Tuskegee_RYS18 ,none,none
Tue Mar 27 18:20:34 +0000 2018,  Poor divils in Salisbury got an awful dose of the avian flu...,none,none
Tue Mar 27 18:20:51 +0000 2018,  Draymond Green (flu like symptoms) downgraded to doubtful for #Warriors tonight vs. Pacers.   Omri Casspi (sprained right a…,none,none
Tue Mar 27 18:21:00 +0000 2018,"I still don’t have tickets for the XI game. This FLU is beating the shit out of me. Still going tho, ticket search starts now. Yo  we going or what?!",none,none
Tue Mar 27 18:21:04 +0000 2018,Fantastic.  ,none,none
Tue Mar 27 18:21:05 +0000 2018,20 children have already died of the flu this season. ,none,none
Tue Mar 27 18:21:09 +0000 2018,"  That's not love in the air, it's the flu.",none,none
Tue Mar 27 18:21:11 +0000 2018,CDC says 2nd wave of flu virus B has started ,none,none
Tue Mar 27 18:21:16 +0000 2018,  That too! #Tuskegee_RYS18 ,none,none
Tue Mar 27 18:21:18 +0000 2018,  Single jab that protects against all strains of flu for 10 years could be available on the NHS in just two years  ,none,none
Tue Mar 27 18:21:19 +0000 2018,Who THE FUCK has given me a cold and the flu AGAIN,none,none
Tue Mar 27 18:21:20 +0000 2018,Lord give me a stomach flu bc I need to lose about 15 pounds,none,none
Tue Mar 27 18:21:21 +0000 2018,  CDC: Second wave of flu virus B happening now  ,Seshego,none
Tue Mar 27 18:21:43 +0000 2018,I swear this flu gets worse every day ,none,ZA
Tue Mar 27 18:21:51 +0000 2018,"I also didn’t sleep much at all last night so. And I still have a lingering cough but the flu is gone, but I think that my energy from beforehand is still recovering",none,none
Tue Mar 27 18:22:06 +0000 2018,i feel a flu coming,none,none
Tue Mar 27 18:22:12 +0000 2018," welcome to teaching  in my first couple months, i got strep, flu, two colds, and pink eye  literally the worst",none,none
Tue Mar 27 18:22:17 +0000 2018,  That too! #Tuskegee_RYS18 ,none,none
Tue Mar 27 18:22:27 +0000 2018,"Having had a vicious attack of Influenza B myself, can vouch for the virulence of the strain ",none,none
Tue Mar 27 18:22:28 +0000 2018,  #Nextchat: Forget Flu Season. It’s the ‘Incivility Bug’ That’s Wiping Out Your Workforce!  … with…,none,none
Tue Mar 27 18:22:30 +0000 2018,so sick with a stomach flu yesterday that brie wouldn't even come near me.,none,none
Tue Mar 27 18:22:35 +0000 2018,"I don’t tell anyone this but when someone doubts me, my inner monologue is “try and stop me, bitch! I survived swine flu and my vagina bleeds for 5-6 days straight once every month.”",none,none
Tue Mar 27 18:22:36 +0000 2018,                   ,none,none
Tue Mar 27 18:22:39 +0000 2018,"  CDC warns of second flu strain across US, child deaths up to 133 ",none,none
Tue Mar 27 18:22:50 +0000 2018,"I think I had the flu last week and I legit just was acting like I had sinus problems. Smh. But I got better really fast. Im telling y’all keep y’all gallbladder’s, kidneys, tonsils, and wisdom teeth  cuz when your body needs to be on defense but you only have one kidney",none,none
Tue Mar 27 18:22:51 +0000 2018,  #FluFact: Did you know #flu viruses are named in part based on where and when they are originally collected? Learn more: ,none,none
Tue Mar 27 18:22:54 +0000 2018,Someone has jinxed the warriors stars. ,none,none
Tue Mar 27 18:23:01 +0000 2018,After visiting a Malaria area; seek immediate medical attention and a Malaria test if you have any ‘flu-like’ symptoms for up to six months after leaving a Malaria area. Inform your doctor of your travel history even if it was only for one day  #readytobeatmalaria #malaria,none,none
Tue Mar 27 18:23:08 +0000 2018,  My biggest fear is going to a Doctor thinking you have a flu or something small but you end up with a whole cancer or somet…,none,none
Tue Mar 27 18:23:17 +0000 2018,"fire cider is a great way to ""let your food be your medicine"" and ward off cold and flu symptoms.  via ",none,none
Tue Mar 27 18:23:18 +0000 2018,the flu is weird bc it takes away your taste for food completely but you still gotta nourish yourself but everything looks repulsive what kind of twisted reality is this,none,none
Tue Mar 27 18:23:31 +0000 2018,"  We’re marking the 100 year anniversary of the deadly 1918 #flu pandemic with a panel discussion, including our director of in…",none,none
Tue Mar 27 18:23:34 +0000 2018,"  Draymond Green’s physical challenges, in order, that we know of: R shoulder, pelvis, flu. Knees flare up too. Pretty mu…",none,none
Tue Mar 27 18:23:34 +0000 2018,  Oh no!! ,none,none
Tue Mar 27 18:23:47 +0000 2018,I got the flu boys ,none,none
Tue Mar 27 18:23:56 +0000 2018,i can do stupid shitposts while enjoying this fever but i can't do any actual 'work' on my demo accounts and whatnots  i need to offload this $flu asap - any takers? i promise not to marketdump on you,Chelmsford,none
Tue Mar 27 18:24:06 +0000 2018, I fucking hate international break .... but it’s preferable to the nausea and stomach flu Chels v Front Wheels will give me on the weekend.,none,GB
Tue Mar 27 18:24:26 +0000 2018,"  Dr: I’m sorry sir, it seems you have the extremely virulent Spanish Flu.  Me: Is it treatable with meds?  Dr: Yes, we just ha…",none,none
Tue Mar 27 18:24:39 +0000 2018,the flu can have me the week after next i NEED a clean bill of health for the next week okay,none,none
Tue Mar 27 18:24:41 +0000 2018,oh my FUCKING GOD. I jusdt realized I completely forgot over my other essays and the flu that I have to hand in two summaries of some REALLY RIDICULOUSLY LONG book chapters until friday. I am FUCKING DONE.,none,none
Tue Mar 27 18:24:42 +0000 2018,"Wanted to get back into videos but now i have flu and i crave sweet death right now. On the bright side though, getting human internet installed tomorrow so i can finally stream again. ",none,none
Tue Mar 27 18:24:45 +0000 2018," I love those + a contagion movie, ebola, flu, whatever. LOVE!",none,none
Tue Mar 27 18:24:44 +0000 2018,"  My health car provider just sent me an email telling me it's not too late to get a flu shot. With all due respect, the…",none,none
Tue Mar 27 18:25:00 +0000 2018,                   ,none,none
Tue Mar 27 18:25:07 +0000 2018,  #Flu season isn’t over yet. DYK that diabetics are at a higher risk of flu complications? #DiabetesAlertDay #FightFlu  ,none,none
Tue Mar 27 18:25:10 +0000 2018,  My biggest fear is going to a Doctor thinking you have a flu or something small but you end up with a whole cancer or somet…,none,none
Tue Mar 27 18:25:19 +0000 2018,"  That's not love in the air, it's the flu.",none,none
Tue Mar 27 18:25:20 +0000 2018,CDC: Second wave of flu virus B happening now ,none,none
Tue Mar 27 18:25:20 +0000 2018,  Don't let your guard down when it comes to the flu just yet! ,none,none
Tue Mar 27 18:25:28 +0000 2018,  F the cold F the flu Louisville we are coming for you  See you tonight… ,none,none
Tue Mar 27 18:25:33 +0000 2018,How many calories does blowing your nose every 2 minutes burn? #flu #sick,none,none
Tue Mar 27 18:25:50 +0000 2018,  Trying to get over the stomach flu so I can get to City Council meeting. I should be back up and running tomorrow but I…,none,none
Tue Mar 27 18:25:51 +0000 2018,"Teach your kids to wash their hands, and fight the #flu and other germ related illnesses Clean Hands Count  via ",none,none
Tue Mar 27 18:25:51 +0000 2018,"See that?! Yes, it’s still bloody daylight at the end of my evening run, woohoo!! Still in the throes of a bit of girl flu but the triple #ultramarathons are hurtling towards me at speed and they ain’t running themselves  ",none,none
Tue Mar 27 18:26:00 +0000 2018,3 test in a week + flu badly. Well what’s worse can it be,none,none
Tue Mar 27 18:26:03 +0000 2018,Faaacts ,none,none
Tue Mar 27 18:26:05 +0000 2018,"Add Timothy to the list. Spoke out against the flu shot. Please share. Although, we already know who got him.  #AltonSterling ",none,none
Tue Mar 27 18:26:07 +0000 2018,"  Draymond Green’s physical challenges, in order, that we know of: R shoulder, pelvis, flu. Knees flare up too. Pretty mu…",none,none
Tue Mar 27 18:26:18 +0000 2018,  My biggest fear is going to a Doctor thinking you have a flu or something small but you end up with a whole cancer or somet…,none,none
Tue Mar 27 18:26:42 +0000 2018,"2nd round of flu season comin, or is already here. B vigilant.",none,none
Tue Mar 27 18:27:03 +0000 2018,"Constipation can cause an excess of toxic crap to accumulate in your digestive system, which then puts stress on your liver. All this excess toxicity then goes into your other organs. Your immune system becomes compromised and often, people get the flu or other illnesses/viruses. ",none,none
Tue Mar 27 18:27:09 +0000 2018,  Doctors couldn't figure out what was wrong with 9-year-old Fernando — until they realized he had a disease that fewer than…,none,none
Tue Mar 27 18:27:27 +0000 2018,"Bae has flu, just 2 days before our baecaetion. O ntefela gore, flu e tla ka mawaza",none,none
Tue Mar 27 18:27:30 +0000 2018,i................have.......... the flu,none,none
Tue Mar 27 18:27:37 +0000 2018,What’s good though is that for those two weeks between starting the HC and getting the flu I lived life more fully than I was able to these past two years. Yeah it was awful finding myself back in bed again but I enjoyed the freedom whilst I could,none,none
Tue Mar 27 18:27:42 +0000 2018, I don't know why you hate me so much and keep blocking me. I only said to get well soon from the flu and I am being polite and nice to you cause I didn't saying anything bad ines,none,none
Tue Mar 27 18:27:53 +0000 2018,I’m about to catch the flu in this break room wtf,none,none
Tue Mar 27 18:28:18 +0000 2018,bluedot fer the flu,none,none
Tue Mar 27 18:28:28 +0000 2018,"  That's not love in the air, it's the flu.",none,none
